,School,SOS,School_format
223,Ohio Bobcats,-0.22,ohio-bobcats
224,Ohio State Buckeyes,7.31,ohio-state-buckeyes
225,Oklahoma Sooners,6.32,oklahoma-sooners
226,Oklahoma State Cowboys,5.62,oklahoma-state-cowboys
227,Old Dominion Monarchs,-0.06,old-dominion-monarchs
228,Oral Roberts Golden Eagles,-1.01,oral-roberts-golden-eagles
229,Oregon Ducks,5.75,oregon-ducks
230,Oregon State Beavers,5.54,oregon-state-beavers
231,Pacific Tigers,-0.17,pacific-tigers
232,Penn State Nittany Lions,1.84,penn-state-nittany-lions
233,Pennsylvania Quakers,-3.08,pennsylvania-quakers
234,Pepperdine Waves,0.04,pepperdine-waves
235,Pittsburgh Panthers,4.07,pittsburgh-panthers
236,Portland Pilots,0.66,portland-pilots
237,Portland State Vikings,-2.83,portland-state-vikings
238,Prairie View Panthers,-8.15,prairie-view-panthers
239,Presbyterian Blue Hose,-5.07,presbyterian-blue-hose
240,Princeton Tigers,-3.64,princeton-tigers
241,Providence Friars,4.24,providence-friars
242,Purdue Boilermakers,7.53,purdue-boilermakers
243,Quinnipiac Bobcats,-6.67,quinnipiac-bobcats
244,Radford Highlanders,-7.25,radford-highlanders
245,Rhode Island Rams,-0.76,rhode-island-rams
246,Rice Owls,0.83,rice-owls
247,Richmond Spiders,-1.56,richmond-spiders
248,Rider Broncs,-6.06,rider-broncs
249,Robert Morris Colonials,-6.77,robert-morris-colonials
250,Rutgers Scarlet Knights,0.37,rutgers-scarlet-knights
251,Sacramento State Hornets,-2.93,sacramento-state-hornets
252,Sacred Heart Pioneers,-6.91,sacred-heart-pioneers
253,Saint Francis (PA) Red Flash,-4.41,saint-francis-pa-red-flash
254,Saint Joseph's Hawks,1.8,saint-josephs-hawks
255,Saint Louis Billikens,4.01,saint-louis-billikens
256,Saint Mary's (CA) Gaels,0.17,saint-marys-ca-gaels
257,Saint Peter's Peacocks,-3.93,saint-peters-peacocks
258,Sam Houston State Bearkats,-5.34,sam-houston-state-bearkats
259,Samford Bulldogs,-5.46,samford-bulldogs
260,San Diego State Aztecs,3.34,san-diego-state-aztecs
261,San Diego Toreros,0.41,san-diego-toreros
262,San Francisco Dons,0.59,san-francisco-dons
263,San Jose State Spartans,0.76,san-jose-state-spartans
264,Santa Clara Broncos,0.56,santa-clara-broncos
265,Savannah State Tigers,-5.11,savannah-state-tigers
266,Seattle Redhawks,-1.08,seattle-redhawks
267,Seton Hall Pirates,3.42,seton-hall-pirates
268,Siena Saints,-3.36,siena-saints
269,South Alabama Jaguars,-1.61,south-alabama-jaguars
270,South Carolina Gamecocks,3.31,south-carolina-gamecocks
271,South Carolina State Bulldogs,-10.6,south-carolina-state-bulldogs
272,South Carolina Upstate Spartans,-4.15,south-carolina-upstate-spartans
273,South Dakota Coyotes,-3.25,south-dakota-coyotes
274,South Dakota State Jackrabbits,-2.33,south-dakota-state-jackrabbits
275,South Florida Bulls,3.04,south-florida-bulls
276,Southeast Missouri State Redhawks,-4.74,southeast-missouri-state-redhawks
277,Southeastern Louisiana Lions,-6.35,southeastern-louisiana-lions
278,Southern California Trojans,6.21,southern-california-trojans
279,Southern Illinois Salukis,2.19,southern-illinois-salukis
280,Southern Illinois-Edwardsville Cougars,-4.09,southern-illinois-edwardsville-cougars
281,Southern Jaguars,-10.08,southern-jaguars
282,Southern Methodist Mustangs,1.77,southern-methodist-mustangs
283,Southern Mississippi Golden Eagles,1.86,southern-mississippi-golden-eagles
284,Southern Utah Thunderbirds,-3.61,southern-utah-thunderbirds
285,St. Bonaventure Bonnies,1.53,st-bonaventure-bonnies
286,St. Francis (NY) Terriers,-5.56,st-francis-ny-terriers
287,St. John's (NY) Red Storm,4.98,st-johns-ny-red-storm
288,Stanford Cardinal,6.1,stanford-cardinal
289,Stephen F. Austin Lumberjacks,-6.69,stephen-f-austin-lumberjacks
290,Stetson Hatters,-4.52,stetson-hatters
291,Stony Brook Seawolves,-5.43,stony-brook-seawolves
292,Syracuse Orange,3.76,syracuse-orange
293,Temple Owls,2.51,temple-owls
294,Tennessee State Tigers,-4.69,tennessee-state-tigers
295,Tennessee Tech Golden Eagles,-3.64,tennessee-tech-golden-eagles
296,Tennessee Volunteers,5.07,tennessee-volunteers
297,Tennessee-Martin Skyhawks,-4.16,tennessee-martin-skyhawks
298,Texas A&M Aggies,2.34,texas-am-aggies
299,Texas A&M-Corpus Christi Islanders,-4.53,texas-am-corpus-christi-islanders
300,Texas Christian Horned Frogs,1.74,texas-christian-horned-frogs
301,Texas Longhorns,3.46,texas-longhorns
302,Texas Southern Tigers,-8.5,texas-southern-tigers
303,Texas State Bobcats,-5.71,texas-state-bobcats
304,Texas Tech Red Raiders,2.4,texas-tech-red-raiders
305,Texas-Arlington Mavericks,-4.71,texas-arlington-mavericks
306,Texas-El Paso Miners,0.77,texas-el-paso-miners
307,Texas-Rio Grande Valley Vaqueros,-3.15,texas-rio-grande-valley-vaqueros
308,Texas-San Antonio Roadrunners,-4.74,texas-san-antonio-roadrunners
309,Toledo Rockets,-0.26,toledo-rockets
310,Towson Tigers,-4.37,towson-tigers
311,Troy Trojans,-5.33,troy-trojans
312,Tulane Green Wave,1.13,tulane-green-wave
313,Tulsa Golden Hurricane,3.19,tulsa-golden-hurricane
314,UC-Davis Aggies,-2.58,uc-davis-aggies
315,UC-Irvine Anteaters,0.36,uc-irvine-anteaters
316,UC-Riverside Highlanders,-1.85,uc-riverside-highlanders
317,UC-Santa Barbara Gauchos,0.18,uc-santa-barbara-gauchos
318,UCLA Bruins,6.9,ucla-bruins
319,University of California Golden Bears,6.03,university-of-california-golden-bears
320,Utah State Aggies,0.88,utah-state-aggies
321,Utah Utes,3.55,utah-utes
322,Utah Valley Wolverines,-5.48,utah-valley-wolverines
323,Valparaiso Crusaders,-1.63,valparaiso-crusaders
324,Vanderbilt Commodores,4.88,vanderbilt-commodores
325,Vermont Catamounts,-7.23,vermont-catamounts
326,Villanova Wildcats,5.57,villanova-wildcats
327,Virginia Cavaliers,5.44,virginia-cavaliers
328,Virginia Commonwealth Rams,0.56,virginia-commonwealth-rams
329,Virginia Military Institute Keydets,-4.89,virginia-military-institute-keydets
330,Virginia Tech Hokies,1.36,virginia-tech-hokies
331,Wagner Seahawks,-7.43,wagner-seahawks
332,Wake Forest Demon Deacons,6.14,wake-forest-demon-deacons
333,Washington Huskies,5.98,washington-huskies
334,Washington State Cougars,4.89,washington-state-cougars
335,Weber State Wildcats,-2.55,weber-state-wildcats
336,West Virginia Mountaineers,2.41,west-virginia-mountaineers
337,Western Carolina Catamounts,-3.94,western-carolina-catamounts
338,Western Illinois Leathernecks,-3.64,western-illinois-leathernecks
339,Western Kentucky Hilltoppers,-0.18,western-kentucky-hilltoppers
340,Western Michigan Broncos,-0.14,western-michigan-broncos
341,Wichita State Shockers,3.2,wichita-state-shockers
342,William & Mary Tribe,-2.61,william-mary-tribe
343,Winthrop Eagles,-6.88,winthrop-eagles
344,Wisconsin Badgers,7.67,wisconsin-badgers
345,Wofford Terriers,-2.92,wofford-terriers
346,Wright State Raiders,-2.13,wright-state-raiders
347,Wyoming Cowboys,2.72,wyoming-cowboys
348,Xavier Musketeers,3.58,xavier-musketeers
349,Yale Bulldogs,-4.69,yale-bulldogs
350,Youngstown State Penguins,-3.2,youngstown-state-penguins
