Teams,school
MissouriSt,missouri-state
Missouri,missouri
Monmouth,monmouth
MontanaState,montana-state
Montana,montana
MoreheadState,morehead-state
MorganState,morgan-state
MountStMarys,mount-st-marys
MurrayState,murray-state
Navy,navy
NebraskaOmaha,nebraska-omaha
Nebraska,nebraska
UNLV,nevada-las-vegas
Nevada,nevada
NewHampshire,new-hampshire
NewMexicoState,new-mexico-state
NewMexico,new-mexico
NewOrleansU,new-orleans
Niagara,niagara
NichollsState,nicholls-state
NJIT,njit
NorfolkSt,norfolk-state
NCAsheville,north-carolina-asheville
N.CarolinaA&T,north-carolina-at
NCCentral,north-carolina-central
NCGreensboro,north-carolina-greensboro
NCState,north-carolina-state
NCWilmington,north-carolina-wilmington
NorthCarolina,north-carolina
NDakotaSt,north-dakota-state
NorthDakotaState,north-dakota-state
NorthDakota,north-dakota
NorthFlorida,north-florida
NorthTexas,north-texas
Northeastern,northeastern
NorthernArizona,northern-arizona
No.Colorado,northern-colorado
NoIllinois,northern-illinois
NorthernIowa,northern-iowa
NorthernKentucky,northern-kentucky
NorthwesternSt,northwestern-state
Northwestern,northwestern
NotreDame,notre-dame
Oakland,oakland
OhioState,ohio-state
Ohio,ohio
OklahomaState,oklahoma-state
Oklahoma,oklahoma
OldDominion,old-dominion
OralRoberts,oral-roberts
OregonState,oregon-state
Oregon,oregon
Pacific,pacific
PennState,penn-state
Pennsylvania,pennsylvania
Pepperdine,pepperdine
Pittsburgh,pittsburgh
PortlandState,portland-state
PortlandU,portland
PrairieViewA&M,prairie-view
Presbyterian,presbyterian
Princeton,princeton
Providence,providence
Purdue,purdue
Quinnipiac,quinnipiac
Radford,radford
RhodeIsland,rhode-island
Rice,rice
Richmond,richmond
Rider,rider
RobertMorris,robert-morris
Rutgers,rutgers
SacramentoState,sacramento-state
SacredHeart,sacred-heart
St.FrancisPA,saint-francis-pa
St.Josephs,saint-josephs
SaintLouis,saint-louis
SaintMarysCA,saint-marys-ca
St.Peter's,saint-peters
SamHoustonSt,sam-houston-state
Samford,samford
SanDiegoState,san-diego-state
SanDiego,san-diego
SanFrancisco,san-francisco
SanJoseState,san-jose-state
SantaClara,santa-clara
SavannahState,savannah-state
SeattleU,seattle
SetonHall,seton-hall
Siena,siena
SouthAlabama,south-alabama
SoCarolinaSt,south-carolina-state
USCUpstate,south-carolina-upstate
SouthCarolina,south-carolina
SouthDakotaState,south-dakota-state
SouthDakota,south-dakota
SouthFlorida,south-florida
SEMissouriSt,southeast-missouri-state
SELouisiana,southeastern-louisiana
USC,southern-california
SIUEdwardsville,southern-illinois-edwardsville
SoIllinois,southern-illinois
SMU,southern-methodist
SouthernMiss,southern-mississippi
SouthernUtah,southern-utah
Southern,southern
St.Bonaventure,st-bonaventure
St.FrancisNY,st-francis-ny
St.Johns,st-johns-ny
Stanford,stanford
StephenF.Austin,stephen-f-austin
Stetson,stetson
StonyBrook,stony-brook
Syracuse,syracuse
Temple,temple
TennMartin,tennessee-martin
TennesseeState,tennessee-state
TennesseeTech,tennessee-tech
Tennessee,tennessee
TexasA&MCorpus,texas-am-corpus-christi
TexasA&M,texas-am
UTArlington,texas-arlington
TCU,texas-christian
UTEP,texas-el-paso
UTRioGrandeValley,texas-rio-grande-valley
UTRioGrandValley,texas-rio-grande-valley
TexSanAntonio,texas-san-antonio
TexasSouthern,texas-southern
TexasState,texas-state
TexasTech,texas-tech
Texas,texas
Toledo,toledo
Towson,towson
Troy,troy
Tulane,tulane
Tulsa,tulsa
UCLA,ucla
UtahState,utah-state
UtahValley,utah-valley
UtahU,utah
Valparaiso,valparaiso
Vanderbilt,vanderbilt
Vermont,vermont
Villanova,villanova
VaCommonwealth,virginia-commonwealth
VMI,virginia-military-institute
VirginiaTech,virginia-tech
Virginia,virginia
Wagner,wagner
WakeForest,wake-forest
WashingtonState,washington-state
WashingtonU,washington
WeberState,weber-state
WestVirginia,west-virginia
WesternCarolina,western-carolina
WesternIllinois,western-illinois
WesternKentucky,western-kentucky
WesternMichigan,western-michigan
WichitaState,wichita-state
William&Mary,william-mary
Winthrop,winthrop
Wisconsin,wisconsin
Wofford,wofford
WrightState,wright-state
Wyoming,wyoming
Xavier,xavier
Yale,yale
YoungstownState,youngstown-state
AlaskaAnchorage,
Chaminade,
ConcordiaSt.Paul,
