,school,sos,school-format,season
261,San Diego State NCAA,6.19,san-diego-state,2013
262,San Diego,2.60,san-diego,2013
263,San Francisco,2.83,san-francisco,2013
264,San Jose State,-0.92,san-jose-state,2013
265,Santa Clara,1.72,santa-clara,2013
266,Savannah State,-4.73,savannah-state,2013
267,Seattle,-1.05,seattle,2013
268,Seton Hall,5.96,seton-hall,2013
269,Siena,-1.87,siena,2013
270,South Alabama,-2.96,south-alabama,2013
271,South Carolina State,-5.10,south-carolina-state,2013
272,South Carolina Upstate,-4.79,south-carolina-upstate,2013
273,South Carolina,2.11,south-carolina,2013
274,South Dakota State NCAA,-3.27,south-dakota-state,2013
275,South Dakota,-2.92,south-dakota,2013
276,South Florida,7.70,south-florida,2013
277,Southeast Missouri State,-6.06,southeast-missouri-state,2013
278,Southeastern Louisiana,-3.76,southeastern-louisiana,2013
279,Southern California,8.25,southern-california,2013
280,SIU Edwardsville,-4.67,southern-illinois-edwardsville,2013
281,Southern Illinois,2.28,southern-illinois,2013
282,Southern Methodist,-1.33,southern-methodist,2013
283,Southern Mississippi,1.49,southern-mississippi,2013
284,Southern Utah,-5.00,southern-utah,2013
285,Southern NCAA,-10.31,southern,2013
286,St. Bonaventure,2.71,st-bonaventure,2013
287,St. Francis (NY),-4.75,st-francis-ny,2013
288,St. John's (NY),7.16,st-johns-ny,2013
289,Stanford,7.37,stanford,2013
290,Stephen F. Austin,-6.64,stephen-f-austin,2013
291,Stetson,-4.45,stetson,2013
292,Stony Brook,-4.12,stony-brook,2013
293,Syracuse NCAA,8.57,syracuse,2013
294,Temple NCAA,5.20,temple,2013
295,Tennessee-Martin,-4.19,tennessee-martin,2013
296,Tennessee State,-1.30,tennessee-state,2013
297,Tennessee Tech,-3.31,tennessee-tech,2013
298,Tennessee,6.03,tennessee,2013
299,Texas A&M-Corpus Christi,-3.65,texas-am-corpus-christi,2013
300,Texas A&M,4.86,texas-am,2013
301,Texas-Arlington,-0.90,texas-arlington,2013
302,Texas Christian,4.41,texas-christian,2013
303,Texas-El Paso,2.38,texas-el-paso,2013
304,Texas-Rio Grande Valley,-8.18,texas-pan-american,2013
305,Texas-San Antonio,-1.00,texas-san-antonio,2013
306,Texas Southern,-7.25,texas-southern,2013
307,Texas State,-0.90,texas-state,2013
308,Texas Tech,4.31,texas-tech,2013
309,Texas,6.55,texas,2013
310,Toledo,-3.04,toledo,2013
311,Towson,-2.59,towson,2013
312,Troy,-4.01,troy,2013
313,Tulane,-1.80,tulane,2013
314,Tulsa,0.95,tulsa,2013
315,UCLA NCAA,7.82,ucla,2013
316,Utah State,-0.68,utah-state,2013
317,Utah Valley,-7.02,utah-valley,2013
318,Utah,6.68,utah,2013
319,Valparaiso NCAA,-1.13,valparaiso,2013
320,Vanderbilt,6.03,vanderbilt,2013
321,Vermont,-4.46,vermont,2013
322,Villanova NCAA,8.53,villanova,2013
323,Virginia Commonwealth NCAA,4.47,virginia-commonwealth,2013
324,VMI,-7.11,virginia-military-institute,2013
325,Virginia Tech,6.27,virginia-tech,2013
326,Virginia,4.23,virginia,2013
327,Wagner,-5.07,wagner,2013
328,Wake Forest,6.15,wake-forest,2013
329,Washington State,5.26,washington-state,2013
330,Washington,7.22,washington,2013
331,Weber State,-5.61,weber-state,2013
332,West Virginia,6.54,west-virginia,2013
333,Western Carolina,-4.42,western-carolina,2013
