,School,SOS,School_format
143,Liberty,-7.04,liberty
144,Lipscomb,-4.67,lipscomb
145,Long-Beach-State,1.27,long-beach-state
146,Long-Island-University,-6.37,long-island-university
147,Longwood,-5.13,longwood
148,Louisiana,-1.12,louisiana
149,Louisiana-State,4.33,louisiana-state
150,Louisiana-Tech,-1.6,louisiana-tech
151,Louisiana-Monroe,-4.43,louisiana-monroe
152,Louisville,6.41,louisville
153,Loyola-(IL),1.5,loyola-il
154,Loyola-(MD),-4.69,loyola-md
155,Loyola-Marymount,0.32,loyola-marymount
156,Maine-Black,-7.42,maine-black
157,Manhattan,-2.3,manhattan
158,Marist,-5.48,marist
159,Marquette,4.61,marquette
160,Marshall,-1.3,marshall
161,Maryland,5.15,maryland
162,Maryland-Baltimore-County,-6.71,maryland-baltimore-county
163,Maryland-Eastern-Shore,-9.61,maryland-eastern-shore
164,Massachusetts,-0.31,massachusetts
165,Massachusetts-Lowell,-5.47,massachusetts-lowell
166,McNeese-State,-4.68,mcneese-state
167,Memphis,3.59,memphis
168,Mercer,-5.53,mercer
169,Miami-(FL),3.2,miami-fl
170,Miami-(OH),0.95,miami-oh
171,Michigan-State,7.58,michigan-state
172,Michigan,7.64,michigan
173,Middle-Tennessee,-2.97,middle-tennessee
174,Milwaukee,-1.31,milwaukee
175,Minnesota,7.5,minnesota
176,Mississippi,4.28,mississippi
177,Mississippi-State,4.22,mississippi-state
178,Mississippi-Valley-State,-9.06,mississippi-valley-state
179,Missouri-State,1.31,missouri-state
180,Missouri,6.02,missouri
181,Missouri-Kansas-City,-3.27,missouri-kansas-city
182,Monmouth,-6.22,monmouth
183,Montana,-2.63,montana
184,Montana-State,-2.63,montana-state
185,Morehead-State,-3.5,morehead-state
186,Morgan-State,-8.98,morgan-state
187,Mount-St.-Mary's,-6.42,mount-st-marys
188,Murray-State,-3.18,murray-state
189,Navy,-4.0,navy
190,Nebraska,6.01,nebraska
191,Nebraska-Omaha,-2.38,nebraska-omaha
192,Nevada,1.1,nevada
193,Nevada-Las-Vegas,3.26,nevada-las-vegas
194,New-Hampshire,-7.08,new-hampshire
195,New-Mexico,2.22,new-mexico
196,New-Mexico-State,-0.23,new-mexico-state
197,New-Orleans,-2.05,new-orleans
198,Niagara,-1.7,niagara
199,Nicholls-State,-5.92,nicholls-state
200,NJIT,-6.77,njit
201,Norfolk-State,-8.67,norfolk-state
202,North-Carolina-A&T,-9.83,north-carolina-at
203,North-Carolina-Central,-9.15,north-carolina-central
204,North-Carolina-State,5.88,north-carolina-state
205,North-Carolina,6.81,north-carolina
206,North-Carolina-Asheville,-5.6,north-carolina-asheville
207,North-Carolina-Greensboro,-4.5,north-carolina-greensboro
208,North-Carolina-Wilmington,-2.55,north-carolina-wilmington
209,North-Dakota-State,-2.9,north-dakota-state
210,North-Dakota-UND,-4.77,north-dakota-und
211,North-Florida,-2.38,north-florida
212,North-Texas,-0.37,north-texas
213,Northeastern,-4.35,northeastern
214,Northern-Arizona,-2.96,northern-arizona
215,Northern-Colorado,-4.08,northern-colorado
216,Northern-Illinois,-1.14,northern-illinois
217,Northern-Iowa,1.6,northern-iowa
218,Northern-Kentucky,-3.76,northern-kentucky
219,Northwestern-State,-5.6,northwestern-state
220,Northwestern,7.33,northwestern
221,Notre-Dame,5.69,notre-dame
222,Oakland,-1.23,oakland
223,Ohio,-0.22,ohio
224,Ohio-State,7.31,ohio-state
225,Oklahoma,6.32,oklahoma
226,Oklahoma-State,5.62,oklahoma-state
227,Old-Dominion,-0.06,old-dominion
228,Oral-Roberts,-1.01,oral-roberts
229,Oregon,5.75,oregon
230,Oregon-State,5.54,oregon-state
231,Pacific,-0.17,pacific
232,Penn-State,1.84,penn-state
233,Pennsylvania,-3.08,pennsylvania
234,Pepperdine,0.04,pepperdine
235,Pittsburgh,4.07,pittsburgh
236,Portland,0.66,portland
237,Portland-State,-2.83,portland-state
238,Prairie-View,-8.15,prairie-view
239,Presbyterian,-5.07,presbyterian
240,Princeton,-3.64,princeton
241,Providence,4.24,providence
242,Purdue,7.53,purdue
243,Quinnipiac,-6.67,quinnipiac
244,Radford,-7.25,radford
245,Rhode-Island,-0.76,rhode-island
246,Rice,0.83,rice
247,Richmond,-1.56,richmond
248,Rider,-6.06,rider
249,Robert-Morris,-6.77,robert-morris
250,Rutgers-Scarlet,0.37,rutgers-scarlet
251,Sacramento-State,-2.93,sacramento-state
252,Sacred-Heart,-6.91,sacred-heart
253,Saint-Francis-(PA),-4.41,saint-francis-pa
254,Saint-Joseph's,1.8,saint-josephs
255,Saint-Louis,4.01,saint-louis
256,Saint-Mary's-(CA),0.17,saint-marys-ca
257,Saint-Peter's,-3.93,saint-peters
258,Sam-Houston-State,-5.34,sam-houston-state
