School,SOS
Mount St. Mary's Mountaineers,-6.42
Murray State Racers,-3.18
Navy Midshipmen,-4
Nebraska Cornhuskers,6.01
Nebraska-Omaha Mavericks,-2.38
Nevada Wolf Pack,1.1
Nevada-Las Vegas Rebels,3.26
New Hampshire Wildcats,-7.08
New Mexico Lobos,2.22
New Mexico State Aggies,-0.23
New Orleans Privateers,-2.05
Niagara Purple Eagles,-1.7
Nicholls State Colonels,-5.92
NJIT Highlanders,-6.77
Norfolk State Spartans,-8.67
North Carolina A&T Aggies,-9.83
North Carolina Central Eagles,-9.15
North Carolina State Wolfpack,5.88
North Carolina Tar Heels,6.81
North Carolina-Asheville Bulldogs,-5.6
North Carolina-Greensboro Spartans,-4.5
North Carolina-Wilmington Seahawks,-2.55
North Dakota State Bison,-2.9
North Dakota UND,-4.77
North Florida Ospreys,-2.38
North Texas Mean Green,-0.37
Northeastern Huskies,-4.35
Northern Arizona Lumberjacks,-2.96
Northern Colorado Bears,-4.08
Northern Illinois Huskies,-1.14
Northern Iowa Panthers,1.6
Northern Kentucky Norse,-3.76
Northwestern State Demons,-5.6
Northwestern Wildcats,7.33
Notre Dame Fighting Irish,5.69
Oakland Golden Grizzlies,-1.23
Ohio Bobcats,-0.22
Ohio State Buckeyes,7.31
Oklahoma Sooners,6.32
Oklahoma State Cowboys,5.62
Old Dominion Monarchs,-0.06
Oral Roberts Golden Eagles,-1.01
Oregon Ducks,5.75
Oregon State Beavers,5.54
Pacific Tigers,-0.17
Penn State Nittany Lions,1.84
Pennsylvania Quakers,-3.08
Pepperdine Waves,0.04
Pittsburgh Panthers,4.07
Portland Pilots,0.66
Portland State Vikings,-2.83
Prairie View Panthers,-8.15
Presbyterian Blue Hose,-5.07
Princeton Tigers,-3.64
Providence Friars,4.24
Purdue Boilermakers,7.53
Quinnipiac Bobcats,-6.67
Radford Highlanders,-7.25
Rhode Island Rams,-0.76
Rice Owls,0.83
Richmond Spiders,-1.56
Rider Broncs,-6.06
Robert Morris Colonials,-6.77
Rutgers Scarlet Knights,0.37
Sacramento State Hornets,-2.93
Sacred Heart Pioneers,-6.91
Saint Francis (PA) Red Flash,-4.41
Saint Joseph's Hawks,1.8
Saint Louis Billikens,4.01
Saint Mary's (CA) Gaels,0.17
Saint Peter's Peacocks,-3.93
Sam Houston State Bearkats,-5.34
Samford Bulldogs,-5.46
San Diego State Aztecs,3.34
San Diego Toreros,0.41
San Francisco Dons,0.59
San Jose State Spartans,0.76
Santa Clara Broncos,0.56
Savannah State Tigers,-5.11
Seattle Redhawks,-1.08
Seton Hall Pirates,3.42
Siena Saints,-3.36
South Alabama Jaguars,-1.61
South Carolina Gamecocks,3.31
South Carolina State Bulldogs,-10.6
South Carolina Upstate Spartans,-4.15
South Dakota Coyotes,-3.25
South Dakota State Jackrabbits,-2.33
South Florida Bulls,3.04
Southeast Missouri State Redhawks,-4.74
Southeastern Louisiana Lions,-6.35
Southern California Trojans,6.21
Southern Illinois Salukis,2.19
Southern Illinois-Edwardsville Cougars,-4.09
Southern Jaguars,-10.08
Southern Methodist Mustangs,1.77
Southern Mississippi Golden Eagles,1.86
Southern Utah Thunderbirds,-3.61
St. Bonaventure Bonnies,1.53
St. Francis (NY) Terriers,-5.56
St. John's (NY) Red Storm,4.98
Stanford Cardinal,6.1
Stephen F. Austin Lumberjacks,-6.69
Stetson Hatters,-4.52
Stony Brook Seawolves,-5.43
Syracuse Orange,3.76
Temple Owls,2.51
Tennessee State Tigers,-4.69
Tennessee Tech Golden Eagles,-3.64
Tennessee Volunteers,5.07
Tennessee-Martin Skyhawks,-4.16
Texas A&M Aggies,2.34
Texas A&M-Corpus Christi Islanders,-4.53
Texas Christian Horned Frogs,1.74
Texas Longhorns,3.46
Texas Southern Tigers,-8.5
Texas State Bobcats,-5.71
Texas Tech Red Raiders,2.4
Texas-Arlington Mavericks,-4.71
Texas-El Paso Miners,0.77
Texas-Rio Grande Valley Vaqueros,-3.15
Texas-San Antonio Roadrunners,-4.74
Toledo Rockets,-0.26
Towson Tigers,-4.37
Troy Trojans,-5.33
Tulane Green Wave,1.13
Tulsa Golden Hurricane,3.19
UC-Davis Aggies,-2.58
UC-Irvine Anteaters,0.36
UC-Riverside Highlanders,-1.85
UC-Santa Barbara Gauchos,0.18
UCLA Bruins,6.9
University of California Golden Bears,6.03
Utah State Aggies,0.88
Utah Utes,3.55
Utah Valley Wolverines,-5.48
Valparaiso Crusaders,-1.63
Vanderbilt Commodores,4.88
Vermont Catamounts,-7.23
Villanova Wildcats,5.57
Virginia Cavaliers,5.44
Virginia Commonwealth Rams,0.56
Virginia Military Institute Keydets,-4.89
Virginia Tech Hokies,1.36
Wagner Seahawks,-7.43
Wake Forest Demon Deacons,6.14
Washington Huskies,5.98
Washington State Cougars,4.89
Weber State Wildcats,-2.55
West Virginia Mountaineers,2.41
Western Carolina Catamounts,-3.94
Western Illinois Leathernecks,-3.64
Western Kentucky Hilltoppers,-0.18
Western Michigan Broncos,-0.14
Wichita State Shockers,3.2
William & Mary Tribe,-2.61
Winthrop Eagles,-6.88
Wisconsin Badgers,7.67
Wofford Terriers,-2.92
Wright State Raiders,-2.13
Wyoming Cowboys,2.72
Xavier Musketeers,3.58
Yale Bulldogs,-4.69
Youngstown State Penguins,-3.2
