,Team
Wagner,10
Vermont,10
NorthDakotaState,10
Navy,10
FlaGulfCoast,9
TexasSouthern,9
PrairieViewA&M,8
SamHoustonSt,8
CSBakersfield,8
Howard,8
ArkPineBluff,8
Hampton,8
Colgate,8
LongIsland,8
N.CarolinaA&T,7
MDBaltimoreCo,7
FairDickinson,7
SeattleU,7
Lipscomb,7
NCCentral,7
JacksonState,7
GrandCanyon,6
Jacksonville,6
SacredHeart,6
StephenF.Austin,6
AlabamaState,6
AlabamaA&M,6
CentralArkansas,6
St.FrancisPA,6
GardnerWebb,6
HolyCross,6
Lafayette,6
Winthrop,6
NCAsheville,5
UtahValley,5
Southern,5
zzzzNDakotaSt,5
Campbell,5
Hartford,5
NorthFlorida,5
Maine,4
NorfolkSt,4
BostonU,4
MDEasternShore,4
RobertMorris,4
CharlestonSou,4
ChicagoSt,4
UMKC,4
NewOrleansU,4
AlbanyNY,4
Longwood,4
LoyolaMaryland,4
FloridaA&M,4
Lehigh,4
Lamar,4
St.FrancisNY,4
MountStMarys,3
ConcordiaSt.Paul,3
StonyBrook,3
NewHampshire,3
AlaskaAnchorage,3
CentralConn,3
CoppinState,3
MorganState,3
SoCarolinaSt,3
DelawareState,3
UMassLowell,3
Chaminade,3
Army,3
Bryant,3
SELouisiana,3
American,3
HoustonBaptist,3
MissValleySt,2
TexasA&MCorpus,2
Binghamton,2
USCUpstate,2
AlcornState,2
NJIT,2
NichollsState,2
SavannahState,2
BethuneCookman,2
KennesawSt,2
UTRioGrandValley,1
AbileneChristian,1
Stetson,1
UTRioGrandeValley,1
Presbyterian,1
HighPoint,1
NorthwesternSt,1
