,school,sos,year
67,cornell,0.03,2018
68,creighton,7.17,2018
69,dartmouth,-3.24,2018
70,davidson,-3.73,2018
71,dayton,5.34,2018
72,delaware-state,-6.11,2018
73,delaware,-1.10,2018
74,denver,-0.42,2018
75,depaul,7.47,2018
76,detroit-mercy,-0.25,2018
77,drake,1.03,2018
78,drexel,-0.24,2018
79,duke,8.48,2018
80,duquesne,1.03,2018
81,east-carolina,-2.41,2018
82,east-tennessee-state,-6.08,2018
83,eastern-illinois,-4.21,2018
84,eastern-kentucky,-4.34,2018
85,eastern-michigan,0.67,2018
86,eastern-washington,-4.15,2018
87,elon,-4.50,2018
88,evansville,1.20,2018
89,fairfield,-0.81,2018
90,fairleigh-dickinson,-4.07,2018
91,florida-am,-7.58,2018
92,florida-atlantic,-0.42,2018
93,florida-gulf-coast,-5.76,2018
94,florida-international,-1.58,2018
95,florida-state,8.13,2018
96,florida,8.54,2018
97,fordham,3.14,2018
98,fresno-state,3.75,2018
99,furman,-7.40,2018
100,gardner-webb,-6.90,2018
101,george-mason,4.58,2018
102,george-washington,4.42,2018
103,georgetown,8.27,2018
104,georgia-southern,-8.60,2018
105,georgia-state,-2.56,2018
106,georgia-tech,5.24,2018
107,georgia,5.78,2018
108,gonzaga,5.36,2018
109,grambling,-9.05,2018
110,grand-canyon,-3.51,2018
111,green-bay,0.11,2018
112,hampton,-7.91,2018
113,hartford,-6.18,2018
114,harvard,-0.47,2018
115,hawaii,-1.68,2018
116,high-point,-5.23,2018
117,hofstra,-1.89,2018
118,holy-cross,-3.28,2018
119,houston-baptist,-5.39,2018
120,houston,4.62,2018
121,howard,-5.22,2018
122,idaho-state,-4.72,2018
123,idaho,-3.72,2018
124,illinois-chicago,0.63,2018
125,illinois-state,1.77,2018
126,illinois,8.28,2018
127,incarnate-word,-10.74,2018
128,indiana-state,1.19,2018
129,indiana,6.64,2018
130,iona,-0.10,2018
131,iowa-state,9.88,2018
132,iowa,7.43,2018
133,ipfw,-3.87,2018
134,iupui,-1.36,2018
135,jackson-state,-8.72,2018
136,jacksonville-state,-5.14,2018
137,jacksonville,-4.86,2018
138,james-madison,-2.20,2018
139,kansas-state,8.47,2018
140,kansas,11.40,2018
141,kennesaw-state,-4.05,2018
142,kent-state,-1.94,2018
143,kentucky,9.90,2018
144,la-salle,4.75,2018
145,lafayette,-3.38,2018
146,lamar,-6.04,2018
147,lehigh,-3.83,2018
148,liberty,-7.47,2018
149,lipscomb,-5.13,2018
150,long-beach-state,2.71,2018
151,long-island-university,-5.55,2018
152,longwood,-5.56,2018
153,louisiana,-0.28,2018
154,louisiana-monroe,0.02,2018
155,louisiana-state,6.61,2018
156,louisiana-tech,-1.20,2018
157,louisville,4.80,2018
158,loyola-il,-1.14,2018
159,loyola-marymount,4.03,2018
160,loyola-md,-3.23,2018
161,maine,-4.72,2018
162,manhattan,-0.90,2018
163,marist,-1.27,2018
164,marquette,6.61,2018
165,marshall,-1.32,2018
166,maryland-baltimore-county,-6.55,2018
167,maryland-eastern-shore,-6.61,2018
168,maryland,8.08,2018
169,massachusetts-lowell,-4.53,2018
170,massachusetts,6.00,2018
171,mcneese-state,-4.01,2018
172,memphis,7.14,2018
173,mercer,-3.42,2018
174,miami-fl,5.63,2018
175,miami-oh,0.13,2018
176,michigan-state,9.38,2018
177,michigan,9.65,2018
178,middle-tennessee,-0.78,2018
179,milwaukee,-0.44,2018
180,minnesota,8.34,2018
181,mississippi-state,2.75,2018
182,mississippi-valley-state,-8.35,2018
183,mississippi,5.36,2018
184,missouri-kansas-city,-1.93,2018
185,missouri-state,1.22,2018
186,missouri,6.86,2018
187,monmouth,-2.90,2018
188,montana-state,-5.83,2018
189,montana,-5.23,2018
190,morehead-state,-3.10,2018
191,morgan-state,-5.03,2018
192,mount-st-marys,-4.44,2018
193,murray-state,-3.58,2018
194,navy,-5.46,2018
195,nebraska-omaha,-2.78,2018
196,nebraska,8.50,2018
197,nevada-las-vegas,2.76,2018
198,nevada,3.48,2018
199,new-hampshire,-5.90,2018
200,new-mexico-state,-2.58,2018
201,new-mexico,4.84,2018
202,new-orleans,-5.53,2018
203,niagara,-1.34,2018
204,nicholls-state,-7.67,2018
205,njit,-7.48,2018
206,norfolk-state,-7.17,2018
207,north-carolina-asheville,-5.50,2018
208,north-carolina-at,-7.40,2018
209,north-carolina-central,-8.03,2018
210,north-carolina-greensboro,-6.12,2018
211,north-carolina-state,7.44,2018
212,north-carolina-wilmington,-0.78,2018
213,north-carolina,8.42,2018
214,north-dakota-state,-0.02,2018
215,north-dakota,-3.78,2018
216,north-florida,-3.32,2018
217,north-texas,-1.53,2018
218,northeastern,-0.30,2018
219,northern-arizona,-4.37,2018
220,northern-colorado,-6.09,2018
221,northern-illinois,-1.28,2018
222,northern-iowa,2.85,2018
223,northern-kentucky,-4.97,2018
224,northwestern-state,-4.66,2018
225,northwestern,8.57,2018
226,notre-dame,6.78,2018
227,oakland,2.78,2018
228,ohio-state,8.12,2018
229,ohio,-1.17,2018
230,oklahoma-state,8.34,2018
231,oklahoma,8.97,2018
232,old-dominion,-0.81,2018
233,oral-roberts,-4.43,2018
234,oregon-state,5.87,2018
235,oregon,8.05,2018
236,pacific,3.25,2018
237,penn-state,7.06,2018
238,pennsylvania,-0.01,2018
239,pepperdine,2.60,2018
240,pittsburgh,7.54,2018
241,portland-state,-5.59,2018
242,portland,1.73,2018
243,prairie-view,-7.99,2018
244,presbyterian,-7.51,2018
245,princeton,-2.40,2018
246,providence,7.85,2018
247,purdue,7.62,2018
248,quinnipiac,-2.41,2018
249,radford,-8.31,2018
250,rhode-island,3.26,2018
251,rice,-0.43,2018
252,richmond,4.30,2018
253,rider,-1.69,2018
254,robert-morris,-3.79,2018
255,rutgers,5.80,2018
256,sacramento-state,-5.54,2018
257,sacred-heart,-5.97,2018
258,saint-francis-pa,-5.65,2018
259,saint-josephs,5.08,2018
260,saint-louis,4.24,2018
261,saint-marys-ca,4.29,2018
262,saint-peters,-3.27,2018
263,sam-houston-state,-7.60,2018
264,samford,-7.41,2018
265,san-diego-state,4.86,2018
266,san-diego,1.97,2018
267,san-francisco,4.28,2018
268,san-jose-state,3.05,2018
269,santa-clara,3.01,2018
270,savannah-state,-5.37,2018
271,seattle,-4.11,2018
272,seton-hall,5.56,2018
273,siena,-0.15,2018
274,south-alabama,-0.51,2018
275,south-carolina-state,-5.96,2018
276,south-carolina-upstate,-4.61,2018
277,south-carolina,6.96,2018
278,south-dakota-state,-1.93,2018
279,south-dakota,-0.81,2018
280,south-florida,4.60,2018
281,southeast-missouri-state,-6.59,2018
282,southeastern-louisiana,-7.67,2018
283,southern-california,8.02,2018
284,southern-illinois-edwardsville,-5.33,2018
285,southern-illinois,0.23,2018
286,southern-methodist,4.97,2018
287,southern-mississippi,-0.08,2018
288,southern-utah,-3.19,2018
289,southern,-7.95,2018
290,st-bonaventure,2.64,2018
291,st-francis-ny,-5.90,2018
292,st-johns-ny,6.56,2018
293,stanford,9.00,2018
294,stephen-f-austin,-6.76,2018
295,stetson,-4.97,2018
296,stony-brook,-6.47,2018
297,syracuse,7.25,2018
298,temple,6.88,2018
299,tennessee-martin,-4.82,2018
300,tennessee-state,-1.99,2018
301,tennessee-tech,-4.57,2018
302,tennessee,7.84,2018
303,texas-am-corpus-christi,-6.69,2018
304,texas-am,3.62,2018
305,texas-arlington,-0.92,2018
306,texas-christian,7.90,2018
307,texas-el-paso,0.05,2018
308,texas-rio-grande-valley,-4.42,2018
309,texas-san-antonio,-1.03,2018
310,texas-southern,-10.07,2018
311,texas-state,-1.40,2018
312,texas-tech,8.61,2018
313,texas,9.15,2018
314,toledo,-1.46,2018
315,towson,-3.06,2018
316,troy,-2.90,2018
317,tulane,-1.73,2018
318,tulsa,1.17,2018
319,ucla,7.62,2018
320,utah-state,3.09,2018
321,utah-valley,-3.65,2018
322,utah,6.21,2018
323,valparaiso,-0.24,2018
324,vanderbilt,6.49,2018
325,vermont,-4.57,2018
326,villanova,7.50,2018
327,virginia-commonwealth,4.78,2018
328,virginia-military-institute,-6.33,2018
329,virginia-tech,5.99,2018
330,virginia,7.86,2018
331,wagner,-6.73,2018
332,wake-forest,6.73,2018
333,washington-state,7.24,2018
334,washington,6.45,2018
335,weber-state,-4.23,2018
336,west-virginia,8.02,2018
337,western-carolina,-6.43,2018
338,western-illinois,-2.74,2018
339,western-kentucky,-1.34,2018
340,western-michigan,-1.45,2018
341,wichita-state,1.74,2018
342,william-mary,-2.29,2018
343,winthrop,-6.56,2018
344,wisconsin,10.19,2018
345,wofford,-5.95,2018
346,wright-state,-2.80,2018
347,wyoming,2.34,2018
348,xavier,8.14,2018
349,yale,-1.28,2018
350,youngstown-state,-1.26,2018
351,abilene-christian,-6.34,2018
352,air-force,-0.71,2018
353,akron,-0.47,2018
354,alabama-am,-9.62,2018
355,alabama-birmingham,1.62,2018
356,alabama-state,-12.71,2018
357,alabama,8.09,2018
358,albany-ny,-5.18,2018
359,alcorn-state,-9.95,2018
360,american,-3.71,2018
361,appalachian-state,-3.18,2018
362,arizona-state,6.66,2018
363,arizona,7.41,2018
364,arkansas-little-rock,-3.81,2018
365,arkansas-pine-bluff,-8.61,2018
366,arkansas-state,-3.81,2018
367,arkansas,6.79,2018
368,army,-4.98,2018
369,auburn,8.15,2018
370,austin-peay,-2.81,2018
371,ball-state,0.04,2018
372,baylor,9.33,2018
373,belmont,-2.77,2018
374,bethune-cookman,-10.45,2018
375,binghamton,-3.49,2018
376,boise-state,1.38,2018
377,boston-college,7.94,2018
378,boston-university,-3.12,2018
379,bowling-green-state,-1.25,2018
380,bradley,1.52,2018
381,brigham-young,5.02,2018
382,brown,-1.99,2018
383,bryant,-4.93,2018
384,bucknell,-2.75,2018
385,buffalo,1.60,2018
386,butler,8.62,2018
387,cal-poly,0.43,2018
388,cal-state-bakersfield,-5.80,2018
389,cal-state-fullerton,-1.06,2018
390,cal-state-northridge,0.39,2018
391,california-davis,-2.58,2018
392,california-irvine,0.45,2018
393,california-riverside,-1.16,2018
394,california-santa-barbara,0.98,2018
395,university-of-california,6.15,2018
396,campbell,-5.30,2018
397,canisius,-2.79,2018
398,central-arkansas,-5.94,2018
399,central-connecticut-state,-5.62,2018
400,central-florida,0.78,2018
401,central-michigan,-1.10,2018
402,charleston-southern,-5.23,2018
403,charlotte,0.35,2018
404,chattanooga,-4.06,2018
405,chicago-state,-2.48,2018
406,cincinnati,4.40,2018
407,citadel,-4.68,2018
408,clemson,7.18,2018
409,cleveland-state,-0.78,2018
410,coastal-carolina,-6.18,2018
411,colgate,-3.41,2018
412,college-of-charleston,-1.26,2018
413,colorado-state,0.69,2018
414,colorado,6.19,2018
415,columbia,-1.49,2018
416,connecticut,4.22,2018
417,coppin-state,-4.78,2018
418,cornell,-1.92,2018
419,creighton,7.05,2018
420,dartmouth,-3.32,2018
421,davidson,3.19,2018
422,dayton,4.06,2018
423,delaware-state,-6.75,2018
424,delaware,-1.69,2018
425,denver,-3.13,2018
426,depaul,7.49,2018
427,detroit-mercy,0.13,2018
428,drake,2.22,2018
429,drexel,-0.85,2018
430,duke,9.87,2018
431,duquesne,1.41,2018
432,east-carolina,1.00,2018
433,east-tennessee-state,-4.01,2018
434,eastern-illinois,-2.42,2018
435,eastern-kentucky,-4.16,2018
436,eastern-michigan,-0.14,2018
437,eastern-washington,-3.84,2018
438,elon,-2.69,2018
439,evansville,-0.07,2018
440,fairfield,-2.31,2018
441,fairleigh-dickinson,-4.54,2018
442,florida-am,-8.52,2018
443,florida-atlantic,-2.06,2018
444,florida-gulf-coast,-4.98,2018
445,florida-international,-3.23,2018
446,florida-state,7.02,2018
447,florida,9.67,2018
448,fordham,2.72,2018
449,fresno-state,1.30,2018
450,furman,-3.46,2018
451,gardner-webb,-3.11,2018
452,george-mason,4.60,2018
453,george-washington,2.79,2018
454,georgetown,9.81,2018
455,georgia-southern,-4.72,2018
456,georgia-state,-2.03,2018
457,georgia-tech,8.45,2018
458,georgia,8.60,2018
459,gonzaga,5.12,2018
460,grambling,-8.00,2018
461,grand-canyon,-5.45,2018
462,green-bay,-0.40,2018
463,hampton,-7.08,2018
464,hartford,-5.16,2018
465,harvard,-0.25,2018
466,hawaii,-0.83,2018
467,high-point,-4.61,2018
468,hofstra,-4.46,2018
469,holy-cross,-3.82,2018
470,houston-baptist,-5.63,2018
471,houston,-0.91,2018
472,howard,-7.86,2018
473,idaho-state,-5.45,2018
474,idaho,-4.79,2018
475,illinois-chicago,-0.36,2018
476,illinois-state,2.87,2018
477,illinois,6.93,2018
478,incarnate-word,-6.47,2018
479,indiana-state,1.21,2018
480,indiana,7.20,2018
481,iona,-2.52,2018
482,iowa-state,9.15,2018
483,iowa,8.39,2018
484,ipfw,-3.41,2018
485,iupui,-1.93,2018
486,jackson-state,-9.52,2018
487,jacksonville-state,-4.52,2018
488,jacksonville,-6.46,2018
489,james-madison,-1.53,2018
490,kansas-state,9.29,2018
491,kansas,12.13,2018
492,kennesaw-state,-5.10,2018
493,kent-state,-0.94,2018
494,kentucky,8.67,2018
495,la-salle,3.91,2018
496,lafayette,-3.12,2018
497,lamar,-5.29,2018
498,lehigh,-3.55,2018
499,liberty,-6.44,2018
500,lipscomb,-5.15,2018
501,long-beach-state,4.16,2018
502,long-island-university,-5.32,2018
503,longwood,-5.53,2018
504,louisiana,-3.61,2018
505,louisiana-monroe,-2.88,2018
506,louisiana-state,5.63,2018
507,louisiana-tech,-1.34,2018
508,louisville,8.98,2018
509,loyola-il,0.46,2018
510,loyola-marymount,5.28,2018
511,loyola-md,-3.38,2018
512,maine,-3.40,2018
513,manhattan,-3.34,2018
514,marist,-2.93,2018
515,marquette,9.02,2018
516,marshall,-0.22,2018
517,maryland-baltimore-county,-5.14,2018
518,maryland-eastern-shore,-6.94,2018
519,maryland,7.63,2018
520,massachusetts-lowell,-4.32,2018
521,massachusetts,4.69,2018
522,mcneese-state,-5.42,2018
523,memphis,2.90,2018
524,mercer,-4.10,2018
525,miami-fl,7.05,2018
526,miami-oh,0.31,2018
527,michigan-state,10.00,2018
528,michigan,9.59,2018
529,middle-tennessee,-0.39,2018
530,milwaukee,0.15,2018
531,minnesota,7.21,2018
532,mississippi-state,4.72,2018
533,mississippi-valley-state,-7.78,2018
534,mississippi,7.01,2018
535,missouri-kansas-city,-5.07,2018
536,missouri-state,1.67,2018
537,missouri,9.26,2018
538,monmouth,-2.91,2018
539,montana-state,-3.50,2018
540,montana,-3.78,2018
541,morehead-state,-3.31,2018
542,morgan-state,-6.48,2018
543,mount-st-marys,-4.40,2018
544,murray-state,-2.81,2018
545,navy,-3.61,2018
546,nebraska-omaha,-5.14,2018
547,nebraska,7.58,2018
548,nevada-las-vegas,3.38,2018
549,nevada,1.08,2018
550,new-hampshire,-6.29,2018
551,new-mexico-state,-3.67,2018
552,new-mexico,1.03,2018
553,new-orleans,-6.36,2018
554,niagara,-1.80,2018
555,nicholls-state,-5.30,2018
556,njit,-4.07,2018
557,norfolk-state,-6.35,2018
558,north-carolina-asheville,-5.65,2018
559,north-carolina-at,-8.02,2018
560,north-carolina-central,-8.67,2018
561,north-carolina-greensboro,-4.36,2018
562,north-carolina-state,9.72,2018
563,north-carolina-wilmington,-1.92,2018
564,north-carolina,11.76,2018
565,north-dakota-state,-3.63,2018
566,north-dakota,-3.73,2018
567,north-florida,-5.94,2018
568,north-texas,-0.71,2018
569,northeastern,-1.34,2018
570,northern-arizona,-4.13,2018
571,northern-colorado,-6.21,2018
572,northern-illinois,-0.14,2018
573,northern-iowa,2.00,2018
574,northern-kentucky,-4.49,2018
575,northwestern-state,-4.52,2018
576,northwestern,7.20,2018
577,notre-dame,7.02,2018
578,oakland,1.27,2018
579,ohio-state,7.37,2018
580,ohio,0.45,2018
581,oklahoma-state,9.63,2018
582,oklahoma,9.94,2018
583,old-dominion,-0.15,2018
584,oral-roberts,-1.99,2018
585,oregon-state,4.97,2018
586,oregon,7.65,2018
587,pacific,3.31,2018
588,penn-state,7.10,2018
589,pennsylvania,-1.36,2018
590,pepperdine,2.80,2018
591,pittsburgh,7.36,2018
592,portland-state,-4.86,2018
593,portland,2.67,2018
594,prairie-view,-8.20,2018
595,presbyterian,-4.51,2018
596,princeton,-2.92,2018
597,providence,9.50,2018
598,purdue,7.64,2018
599,quinnipiac,-3.66,2018
600,radford,-5.53,2018
601,rhode-island,2.87,2018
602,rice,-0.79,2018
603,richmond,3.77,2018
604,rider,-3.11,2018
605,robert-morris,-3.50,2018
606,rutgers,8.11,2018
607,sacramento-state,-5.45,2018
608,sacred-heart,-5.97,2018
609,saint-francis-pa,-4.97,2018
610,saint-josephs,2.58,2018
611,saint-louis,2.43,2018
612,saint-marys-ca,3.78,2018
613,saint-peters,-3.92,2018
614,sam-houston-state,-6.03,2018
615,samford,-5.57,2018
616,san-diego-state,4.24,2018
617,san-diego,3.47,2018
618,san-francisco,2.83,2018
619,san-jose-state,1.92,2018
620,santa-clara,4.12,2018
621,savannah-state,-6.27,2018
622,seattle,-4.69,2018
623,seton-hall,7.56,2018
624,siena,-2.90,2018
625,south-alabama,-3.04,2018
626,south-carolina-state,-7.46,2018
627,south-carolina-upstate,-7.50,2018
628,south-carolina,8.24,2018
629,south-dakota-state,-3.23,2018
630,south-dakota,-3.48,2018
631,south-florida,2.56,2018
632,southeast-missouri-state,-3.73,2018
633,southeastern-louisiana,-6.14,2018
634,southern-california,6.15,2018
635,southern-illinois-edwardsville,-4.54,2018
636,southern-illinois,-0.60,2018
637,southern-methodist,3.57,2018
638,southern-mississippi,-0.06,2018
639,southern-utah,-5.48,2018
640,southern,-8.23,2018
641,st-bonaventure,1.34,2018
642,st-francis-ny,-6.20,2018
643,st-johns-ny,9.04,2018
644,stanford,7.33,2018
645,stephen-f-austin,-4.20,2018
646,stetson,-6.68,2018
647,stony-brook,-4.03,2018
648,syracuse,7.68,2018
649,temple,3.52,2018
650,tennessee-martin,-3.90,2018
651,tennessee-state,-2.38,2018
652,tennessee-tech,-3.99,2018
653,tennessee,8.16,2018
654,texas-am-corpus-christi,-6.43,2018
655,texas-am,5.91,2018
656,texas-arlington,-2.76,2018
657,texas-christian,5.32,2018
658,texas-el-paso,-0.51,2018
659,texas-rio-grande-valley,-4.68,2018
660,texas-san-antonio,-2.61,2018
661,texas-southern,-6.09,2018
662,texas-state,-3.36,2018
663,texas-tech,7.20,2018
664,texas,9.07,2018
665,toledo,0.62,2018
666,towson,-3.80,2018
667,troy,-5.09,2018
668,tulane,0.32,2018
669,tulsa,2.81,2018
670,ucla,8.27,2018
671,utah-state,0.28,2018
672,utah-valley,-4.87,2018
673,utah,7.42,2018
674,valparaiso,-2.00,2018
675,vanderbilt,6.22,2018
676,vermont,-5.52,2018
677,villanova,7.55,2018
678,virginia-commonwealth,6.10,2018
679,virginia-military-institute,-3.92,2018
680,virginia-tech,5.32,2018
681,virginia,7.81,2018
682,wagner,-4.99,2018
683,wake-forest,7.68,2018
684,washington-state,6.08,2018
685,washington,4.83,2018
686,weber-state,-3.50,2018
687,west-virginia,9.29,2018
688,western-carolina,-3.56,2018
689,western-illinois,-2.93,2018
690,western-kentucky,-0.44,2018
691,western-michigan,0.19,2018
692,wichita-state,3.68,2018
693,william-mary,-1.15,2018
694,winthrop,-7.38,2018
695,wisconsin,10.29,2018
696,wofford,-2.98,2018
697,wright-state,-1.14,2018
698,wyoming,-0.04,2018
699,xavier,9.48,2018
700,yale,-0.87,2018
701,youngstown-state,-1.73,2018
702,abilene-christian,-7.53,2018
703,air-force,0.66,2018
704,akron,-1.24,2018
705,alabama-am,-10.75,2018
706,alabama-birmingham,-3.07,2018
707,alabama-state,-9.35,2018
708,alabama,8.62,2018
709,albany-ny,-7.57,2018
710,alcorn-state,-9.94,2018
711,american,-6.08,2018
712,appalachian-state,-1.10,2018
713,arizona-state,8.96,2018
714,arizona,7.23,2018
715,arkansas-little-rock,-1.76,2018
716,arkansas-pine-bluff,-5.52,2018
717,arkansas-state,-2.37,2018
718,arkansas,6.76,2018
719,army,-8.13,2018
720,auburn,7.54,2018
721,austin-peay,-2.98,2018
722,ball-state,-2.98,2018
723,baylor,9.76,2018
724,belmont,-2.10,2018
725,bethune-cookman,-9.18,2018
726,binghamton,-6.35,2018
727,boise-state,3.13,2018
728,boston-college,7.67,2018
729,boston-university,-6.37,2018
730,bowling-green-state,-1.85,2018
731,bradley,3.70,2018
732,brigham-young,2.36,2018
733,brown,-2.82,2018
734,bryant,-6.71,2018
735,bucknell,-5.89,2018
736,buffalo,0.90,2018
737,butler,7.55,2018
738,cal-poly,0.90,2018
739,cal-state-bakersfield,-5.15,2018
740,cal-state-fullerton,-0.76,2018
741,cal-state-northridge,-0.85,2018
742,california-davis,-1.26,2018
743,california-irvine,0.77,2018
744,california-riverside,-3.08,2018
745,california-santa-barbara,1.44,2018
746,university-of-california,7.87,2018
747,campbell,-6.67,2018
748,canisius,-3.77,2018
749,central-arkansas,-6.81,2018
750,central-connecticut-state,-9.24,2018
751,central-florida,3.01,2018
752,central-michigan,-1.30,2018
753,charleston-southern,-2.59,2018
754,charlotte,-1.72,2018
755,chattanooga,-3.46,2018
756,chicago-state,-1.38,2018
757,cincinnati,5.25,2018
758,citadel,-4.75,2018
759,clemson,6.87,2018
760,cleveland-state,0.09,2018
761,coastal-carolina,-4.22,2018
762,colgate,-6.06,2018
763,college-of-charleston,0.04,2018
764,colorado-state,1.53,2018
765,colorado,7.64,2018
766,columbia,-2.55,2018
767,connecticut,6.28,2018
768,coppin-state,-6.06,2018
769,cornell,-1.04,2018
770,creighton,6.44,2018
771,dartmouth,-3.29,2018
772,davidson,5.14,2018
773,dayton,4.76,2018
774,delaware-state,-6.85,2018
775,delaware,0.85,2018
776,denver,-3.24,2018
777,depaul,8.34,2018
778,detroit-mercy,-0.82,2018
779,drake,0.92,2018
780,drexel,1.88,2018
781,duke,10.59,2018
782,duquesne,1.35,2018
783,east-carolina,3.22,2018
784,east-tennessee-state,-2.29,2018
785,eastern-illinois,-3.52,2018
786,eastern-kentucky,-3.86,2018
787,eastern-michigan,1.24,2018
788,eastern-washington,-6.03,2018
789,elon,0.66,2018
790,evansville,-0.39,2018
791,fairfield,-3.14,2018
792,fairleigh-dickinson,-8.31,2018
793,florida-am,-10.67,2018
794,florida-atlantic,-1.72,2018
795,florida-gulf-coast,-3.82,2018
796,florida-international,-4.81,2018
797,florida-state,8.16,2018
798,florida,9.19,2018
799,fordham,-0.09,2018
800,fresno-state,2.24,2018
801,furman,-4.20,2018
802,gardner-webb,-3.96,2018
803,george-mason,3.62,2018
804,george-washington,4.24,2018
805,georgetown,8.49,2018
806,georgia-southern,-3.14,2018
807,georgia-state,-2.19,2018
808,georgia-tech,9.95,2018
809,georgia,8.47,2018
810,gonzaga,4.23,2018
811,grambling,-8.48,2018
812,grand-canyon,-5.60,2018
813,green-bay,-0.67,2018
814,hampton,-8.45,2018
815,hartford,-5.69,2018
816,harvard,-0.25,2018
817,hawaii,-1.04,2018
818,high-point,-4.24,2018
819,hofstra,0.77,2018
820,holy-cross,-6.11,2018
821,houston-baptist,-5.26,2018
822,houston,2.17,2018
823,howard,-8.33,2018
824,idaho-state,-6.69,2018
825,idaho,-5.88,2018
826,illinois-chicago,-0.81,2018
827,illinois-state,2.59,2018
828,illinois,7.03,2018
829,incarnate-word,-6.20,2018
830,indiana-state,2.20,2018
831,indiana,6.90,2018
832,iona,-1.78,2018
833,iowa-state,10.16,2018
834,iowa,8.71,2018
835,ipfw,-1.66,2018
836,iupui,0.11,2018
837,jackson-state,-9.54,2018
838,jacksonville-state,-3.95,2018
839,jacksonville,-6.09,2018
840,james-madison,0.50,2018
841,kansas-state,9.79,2018
842,kansas,11.22,2018
843,kennesaw-state,-1.61,2018
844,kent-state,-1.47,2018
845,kentucky,8.84,2018
846,la-salle,4.65,2018
847,lafayette,-6.00,2018
848,lamar,-8.77,2018
849,lehigh,-5.20,2018
850,liberty,-3.73,2018
851,lipscomb,-3.81,2018
852,long-beach-state,4.57,2018
853,long-island-university,-11.01,2018
854,longwood,-5.15,2018
855,louisiana,-1.94,2018
856,louisiana-monroe,-1.46,2018
857,louisiana-state,7.00,2018
858,louisiana-tech,-4.40,2018
859,louisville,7.74,2018
860,loyola-il,1.11,2018
861,loyola-marymount,0.87,2018
862,loyola-md,-5.24,2018
863,maine,-6.49,2018
864,manhattan,-3.12,2018
865,marist,-4.52,2018
866,marquette,5.57,2018
867,marshall,-0.30,2018
868,maryland-baltimore-county,-6.87,2018
869,maryland-eastern-shore,-6.17,2018
870,maryland,8.31,2018
871,massachusetts-lowell,-6.17,2018
872,massachusetts,2.96,2018
873,mcneese-state,-6.74,2018
874,memphis,3.58,2018
875,mercer,-4.55,2018
876,miami-fl,10.69,2018
877,miami-oh,-0.25,2018
878,michigan-state,6.94,2018
879,michigan,7.92,2018
880,middle-tennessee,-0.70,2018
881,milwaukee,-2.02,2018
882,minnesota,6.86,2018
883,mississippi-state,6.02,2018
884,mississippi-valley-state,-8.11,2018
885,mississippi,4.81,2018
886,missouri-kansas-city,-2.24,2018
887,missouri-state,2.58,2018
888,missouri,6.88,2018
889,monmouth,-1.85,2018
890,montana-state,-5.35,2018
891,montana,-4.29,2018
892,morehead-state,-1.65,2018
893,morgan-state,-7.97,2018
894,mount-st-marys,-7.99,2018
895,murray-state,-3.06,2018
896,navy,-7.05,2018
897,nebraska-omaha,-2.04,2018
898,nebraska,5.57,2018
899,nevada-las-vegas,3.17,2018
900,nevada,1.79,2018
901,new-hampshire,-7.05,2018
902,new-mexico-state,-3.54,2018
903,new-mexico,2.58,2018
904,new-orleans,-8.17,2018
905,niagara,-3.86,2018
