School,School_format,SOS
Vanderbilt,vanderbilt,4.88
Vermont,vermont,-7.23
Villanova,villanova,5.57
Virginia,virginia,5.44
VCU,virginia-commonwealth,0.56
Virginia-Military-Institute,virginia-military-institute,-4.89
Virginia-Tech,virginia-tech,1.36
Wagner,wagner,-7.43
Wake-Forest,wake-forest,6.14
Washington,washington,5.98
Washington-State,washington-state,4.89
Weber-State,weber-state,-2.55
West-Virginia,west-virginia,2.41
Western-Carolina,western-carolina,-3.94
Western-Illinois,western-illinois,-3.64
Western-Kentucky,western-kentucky,-0.18
Western-Michigan,western-michigan,-0.14
Wichita-State,wichita-state,3.2
William-&-Mary,william-mary,-2.61
Winthrop,winthrop,-6.88
Wisconsin,wisconsin,7.67
Wofford,wofford,-2.92
Wright-State,wright-state,-2.13
Wyoming,wyoming,2.72
Xavier,xavier,3.58
Yale,yale,-4.69
Youngstown-State,youngstown-state,-3.2
